time                20000 | observedSignal: xxxxxx | desiredSignal: xxxxxx | filterOut_out1: 000000000 | filterError_signal1: 00000000 | filterWeights_oldCoeff: 00000000 | stepSize: xxxxx
time                40000 | observedSignal: xxxxxx | desiredSignal: xxxxxx | filterOut_out1: 000000000 | filterError_signal1: 00000000 | filterWeights_oldCoeff: 00000000 | stepSize: xxxxx
time                60000 | observedSignal: xxxxxx | desiredSignal: xxxxxx | filterOut_out1: 000000000 | filterError_signal1: 00000000 | filterWeights_oldCoeff: 00000000 | stepSize: xxxxx
time               800000 | observedSignal: ff9beb | desiredSignal: 008748 | filterOut_out1: 000000000 | filterError_signal1: 7ffa4048 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              1500000 | observedSignal: 00c401 | desiredSignal: 029b32 | filterOut_out1: 000000000 | filterError_signal1: 00043a40 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              2200000 | observedSignal: ffae38 | desiredSignal: 02532b | filterOut_out1: 000000000 | filterError_signal1: 0014d990 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              2900000 | observedSignal: fffe41 | desiredSignal: 024173 | filterOut_out1: 000000000 | filterError_signal1: 00129958 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              3600000 | observedSignal: 022385 | desiredSignal: 03cf2c | filterOut_out1: 000000000 | filterError_signal1: 00120b98 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              4300000 | observedSignal: 002e34 | desiredSignal: 019fb4 | filterOut_out1: 000000000 | filterError_signal1: 001e7960 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              5000000 | observedSignal: ffff45 | desiredSignal: ffd8d6 | filterOut_out1: 000000000 | filterError_signal1: 000cfda0 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              5700000 | observedSignal: 0032c6 | desiredSignal: fec9c2 | filterOut_out1: 000000000 | filterError_signal1: 7ffec6b0 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              6400000 | observedSignal: ffc0db | desiredSignal: fdcea8 | filterOut_out1: 000000000 | filterError_signal1: 7ff64e10 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              7100000 | observedSignal: 01cc5b | desiredSignal: ff64d1 | filterOut_out1: 000000000 | filterError_signal1: 7fee7540 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              7800000 | observedSignal: fc2e0f | desiredSignal: fa8b5b | filterOut_out1: 000000000 | filterError_signal1: 7ffb2688 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              8500000 | observedSignal: 011aec | desiredSignal: feb16a | filterOut_out1: 000000000 | filterError_signal1: 7fd45ad8 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              9200000 | observedSignal: 012f9f | desiredSignal: 00d8e0 | filterOut_out1: 000000000 | filterError_signal1: 7ff58b50 | filterWeights_oldCoeff: 00000000 | stepSize: 00000
time              9900000 | observedSignal: fdcdcd | desiredSignal: ff2327 | filterOut_out1: 000000000 | filterError_signal1: 0006c700 | filterWeights_oldCoeff: 00000000 | stepSize: 0000b
time             10600000 | observedSignal: 002d5b | desiredSignal: 0121ad | filterOut_out1: 000000000 | filterError_signal1: 7ff91938 | filterWeights_oldCoeff: 00000000 | stepSize: 0000b
time             11300000 | observedSignal: 026c58 | desiredSignal: 04a052 | filterOut_out1: 00003e7e2 | filterError_signal1: 0008ceea | filterWeights_oldCoeff: 000029b9 | stepSize: 00009
time             12000000 | observedSignal: fd2fc6 | desiredSignal: 00744a | filterOut_out1: 7fffe1cd5 | filterError_signal1: 002520c3 | filterWeights_oldCoeff: 00002e03 | stepSize: 00008
time             12700000 | observedSignal: 02549f | desiredSignal: 0395c8 | filterOut_out1: 7ffdbfcdc | filterError_signal1: 0005e283 | filterWeights_oldCoeff: 0000f86d | stepSize: 00007
time             13400000 | observedSignal: ffc5af | desiredSignal: 014ff5 | filterOut_out1: 0000137fa | filterError_signal1: 001c9ac1 | filterWeights_oldCoeff: 0000d75e | stepSize: 00007
time             14100000 | observedSignal: 013f4b | desiredSignal: 01867b | filterOut_out1: 000032b1a | filterError_signal1: 000a4cf7 | filterWeights_oldCoeff: 00014bf7 | stepSize: 00007
time             14800000 | observedSignal: fe1229 | desiredSignal: fd312b | filterOut_out1: 7ffebda21 | filterError_signal1: 000d7636 | filterWeights_oldCoeff: 000147dd | stepSize: 00007
time             15500000 | observedSignal: 0189cb | desiredSignal: ff2b8a | filterOut_out1: 7fff5ab3d | filterError_signal1: 7fea2ea5 | filterWeights_oldCoeff: 00016536 | stepSize: 00006
time             16200000 | observedSignal: 01ac6f | desiredSignal: ff9473 | filterOut_out1: 0001de25a | filterError_signal1: 7ff77e2b | filterWeights_oldCoeff: 0001aee0 | stepSize: 00006
time             16900000 | observedSignal: fcdba4 | desiredSignal: fb3f62 | filterOut_out1: 000090d15 | filterError_signal1: 7ffc12c7 | filterWeights_oldCoeff: 00019b36 | stepSize: 00005
time             17600000 | observedSignal: 037600 | desiredSignal: 00d03e | filterOut_out1: 7ffe671ce | filterError_signal1: 7fdb93f4 | filterWeights_oldCoeff: 00019153 | stepSize: 00004
time             18300000 | observedSignal: fdb87e | desiredSignal: fdd77e | filterOut_out1: 0002533f0 | filterError_signal1: 00042eb1 | filterWeights_oldCoeff: 00022062 | stepSize: 00005
time             19000000 | observedSignal: 00675d | desiredSignal: 009584 | filterOut_out1: 00004c9be | filterError_signal1: 7fee6f55 | filterWeights_oldCoeff: 00022ec4 | stepSize: 00005
time             19700000 | observedSignal: 01f461 | desiredSignal: 033e97 | filterOut_out1: 7ffeee116 | filterError_signal1: 0005be0f | filterWeights_oldCoeff: 000260d6 | stepSize: 00005
time             20400000 | observedSignal: feff3d | desiredSignal: 0203e2 | filterOut_out1: 00016c1d8 | filterError_signal1: 0018889b | filterWeights_oldCoeff: 000263b9 | stepSize: 00005
time             21100000 | observedSignal: ff1227 | desiredSignal: 015e5e | filterOut_out1: 7ffe42083 | filterError_signal1: 0011dd08 | filterWeights_oldCoeff: 00029fa4 | stepSize: 00005
time             21800000 | observedSignal: 00520b | desiredSignal: 023a57 | filterOut_out1: 7ffe5d755 | filterError_signal1: 000c957b | filterWeights_oldCoeff: 00028943 | stepSize: 00006
time             22500000 | observedSignal: fefe48 | desiredSignal: 00a3f0 | filterOut_out1: 0000e0456 | filterError_signal1: 0010f273 | filterWeights_oldCoeff: 00027aa8 | stepSize: 00007
time             23200000 | observedSignal: 0041b4 | desiredSignal: 0060b7 | filterOut_out1: 7ffe6e94e | filterError_signal1: 0006b0ec | filterWeights_oldCoeff: 000282cc | stepSize: 00008
time             23900000 | observedSignal: fe6a61 | desiredSignal: fd86a0 | filterOut_out1: 0000a0aea | filterError_signal1: 0002650a | filterWeights_oldCoeff: 00027707 | stepSize: 00007
time             24600000 | observedSignal: 00aa40 | desiredSignal: fe6308 | filterOut_out1: 7ffe26c67 | filterError_signal1: 7fee0e3a | filterWeights_oldCoeff: 00027841 | stepSize: 00007
time             25300000 | observedSignal: ffc439 | desiredSignal: fd5a32 | filterOut_out1: 0003a20d3 | filterError_signal1: 7fef7633 | filterWeights_oldCoeff: 0002aa04 | stepSize: 00008
time             26000000 | observedSignal: ffdb49 | desiredSignal: fd4e16 | filterOut_out1: 7fffc14ee | filterError_signal1: 7feb1042 | filterWeights_oldCoeff: 000296c0 | stepSize: 00009
time             26700000 | observedSignal: 002d73 | desiredSignal: fdeac8 | filterOut_out1: 7fffabea7 | filterError_signal1: 7feac4c6 | filterWeights_oldCoeff: 0002a087 | stepSize: 00009
time             27400000 | observedSignal: 00ff6f | desiredSignal: ffdc34 | filterOut_out1: 0003b6531 | filterError_signal1: 7feb9fed | filterWeights_oldCoeff: 0002a761 | stepSize: 0000c
